gene	rank_tracerx	score_tracerx	prevalence_tracerx	median_ccf_tracerx	rank_dpclust	score_dpclust	prevalence_dpclust	median_ccf_dpclust	rank_freq	freq_score	freq_percent	avg_rank
GRIN2A	26	0.458606060606061	0.101010101010101	0.995	19	0.435125406565607	0.126116071428571	0.898639409271161	9	0.04751175548589342	4.751175548589342	18.0
EPHA3	24	0.460606060606061	0.101010101010101	1.0	17	0.437247840480998	0.111607142857143	0.925708886916782	16	0.03575626959247649	3.575626959247649	19.0
KDR	13	0.484848484848485	0.141414141414141	1.0	28	0.416071428571429	0.0982142857142857	0.892857142857143	17	0.034482758620689655	3.4482758620689653	19.333333333333332
SMARCA4	29	0.448484848484848	0.0808080808080808	1.0	20	0.430000212332257	0.0669642857142857	0.974554102259215	14	0.03869514106583072	3.869514106583072	21.0
TPR	30	0.448484848484848	0.0808080808080808	1.0	22	0.427671807359307	0.0814732142857143	0.946969696969697	18	0.03193573667711599	3.1935736677115987	23.333333333333332
RB1	31	0.446545454545455	0.0909090909090909	0.98	33	0.407540708812261	0.046875	0.948539272030651	12	0.044278996865203764	4.427899686520377	25.333333333333332
STK11	27	0.454545454545455	0.0909090909090909	1.0	6	0.483658067476003	0.0591517857142857	1.12041749011858	43	0.014988244514106583	1.4988244514106583	25.333333333333332
PTPN13	21	0.466787878787879	0.131313131313131	0.97	36	0.405639834303627	0.0491071428571429	0.940438871473354	20	0.03154388714733542	3.154388714733542	25.666666666666668
BRAF	40	0.42830303030303	0.0505050505050505	0.995	35	0.406634288330717	0.0602678571428571	0.926183935112507	4	0.07474529780564264	7.474529780564263	26.333333333333332
ERBB2	34	0.438424242424242	0.0707070707070707	0.99	24	0.425856296879431	0.0245535714285714	1.02781038505572	23	0.027037617554858933	2.7037617554858935	27.0
RASA1	23	0.466666666666667	0.111111111111111	1.0	34	0.406974142396685	0.0379464285714286	0.960515713134569	25	0.02556818181818182	2.556818181818182	27.333333333333332
DROSHA	18	0.472787878787879	0.131313131313131	0.985	32	0.408940898805052	0.0479910714285714	0.950365639869772	34	0.020963949843260186	2.0963949843260186	28.0
